id,question_stem,choices,answerKey
9-786,Seasons are caused by what rotating on its axis?,"{'text': array(['Our Planet', 'The Atmosphere', 'The Equator', 'The Sun'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-463,Which is best an letting electricity pass through?,"{'text': array(['tile flooring', 'human flesh', 'hockey stick', 'a steak knife'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-71,Asteroids crashing on planets can leave behind,"{'text': array(['large, bowl-shaped cavities in the ground',
       'aliens and foreign foods', ""small dents in the planet's core"",
       'lakes filled with salty water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-1053,What is the formula of the substance which best helps plants grow,"{'text': array(['NH4', 'C4H4', 'CO2', 'H2O'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-437,You can experience a change of pressure when,"{'text': array(['Yelling really loud', 'Soaring the skies', 'Going walking',
       'riding a bike'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1787,A small creek absorbing heat energy can result in,"{'text': array(['the creek water getting colder', 'a parched creek bed',
       'tributaries branching off from the creek',
       'a runoff of extra water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-107,Summertime  happens during June in all but which location?,"{'text': array(['Australia', 'in Canada', 'United States', 'Europe'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
769,It takes more water to fill a bathtub than a,"{'text': array(['lake', 'pool', 'stomach', 'holding tank'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-73,The eighth month of the year is winter in,"{'text': array(['Brazil', 'Indiana', 'London', 'Canada'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-1194,birds use their peckers to catch,"{'text': array(['dogs', 'a tan', 'a ball', 'bees'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-416,transplanting seedling oaks has a positive impact on,"{'text': array(['fuel costs', 'the economy', 'housing value', 'the environment'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
470,What is an example of hunting?,"{'text': array(['humans throwing a spear through an animal',
       'humans chewing on boiled animal muscles',
       'humans gathering animals in a gate',
       'humans plucking fruit from a tree'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1297,Which of these has shape that changes depending on the container which it resides within?,"{'text': array(['paper', 'wood', 'stone', 'orange juice'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
8-346,What would be the flavor if you ate the item that fell and is thought to have hit Sir Issac Newton's head,"{'text': array(['Sweet', 'Salty', 'bitter', 'sour'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-807,Earth's four layers are comprised mainly of,"{'text': array(['stone', 'bacteria', 'water', 'air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-463,"if coffee sits in the fridge and loses its liquid form, what is that point known as?","{'text': array(['the freezing point', 'the prime point', 'the boiling point',
       'the melting point'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-110,Mammals give birth to live,"{'text': array(['children', 'birds', 'fish', 'insects'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1611,"If a battery in an electromagnet is active, then what will happen to a nail in that electromagnet?","{'text': array(['it loses its magnetization', 'it loses its charge',
       'it may become magnetized', 'it gains a charge'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-942,Which of these is a factor in the shape of a fern's seed?,"{'text': array(['luck', 'humans', 'gold', 'inheritance'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-1102,Which is recyclable?,"{'text': array(['An Elephant', 'A school notebook', 'A boat', 'A lake'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-774,"if the population in a habitat is on a steady decline, what condition is the habitat?","{'text': array(['it is a place to emigrate from', 'it is an ideal habitat',
       'it is an unsustainable habitat', 'it is a thriving abode'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-333,A teacher wants to show how to combine two substances together. The two things that he can use in order to mix them completely are,"{'text': array(['water and soda', 'water and oil', 'sand and rocks',
       'salt and bark'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-573,Medicine is used to cure but can cause people to have allergic reactions such as,"{'text': array(['spider bites', 'vomiting', 'placebo effect', 'dance fever'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1955,Lightning may lead to,"{'text': array(['damage to local foliage', 'rainbows across the sky',
       'growth of local flora', 'firefighters getting the night off'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-45,When would a nocturnal predator most likely hunt?,"{'text': array(['5 p.m.', '12 p.m.', '3 a.m.', '10 a.m.'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-674,Where water be located in its gas form?,"{'text': array(['inside a disc golf driver', 'inside of a brass pipe',
       'a mile up in the sky', 'inside a leather baseball'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
898,Green parts of a life form absorb,"{'text': array(['carbon dioxide', 'light', 'oxygen', 'water'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-1159,If a new species of predator joins a community,"{'text': array(['the new species will become herbivores',
       'prey will experience an increase in population',
       'prey will experience a drop in population',
       'the old species will die out'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
568,Why would a perennial plant with an elongated stem a frequently used for lumber fall to the ground?,"{'text': array([""It's dead"", 'For water', 'For food', 'For sun'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-877,I'm an animal with a white fur and a large fluffy tail that lives in arctic regions; what am I?,"{'text': array(['weasel', 'snow fox', 'wolf', 'polar bear'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
406,Dairy is a source of,"{'text': array(['a vitamin that prevents blood loss',
       'a vitamin that treats amino acid deficiency',
       'a group of fat-soluble secosteroids',
       'a vitamin that helps treat liver problems'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-1132,"Atomic 26 is drawn to a device, it could be","{'text': array(['magnetized', 'Na', 'compass', 'K'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-479,why do tadpoles change into frogs?,"{'text': array(['tadpoles change to different animals',
       'tadpoles are really just fish',
       'they are young frogs still growing', 'none of these'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
609,What do cows eat?,"{'text': array(['Chickpeas', 'Chocolate', 'Steak', 'Poultry'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1568,Which object conducts electricity?,"{'text': array(['Window', ""Rubik's Cube"", 'Ship Anchor', 'Boulder'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-418,Glucose travels,"{'text': array(['from roots to leaves of a daffodil',
       ""from a rose's leaves to the atmosphere"",
       ""from a daisy's leaves into it's underground support system"",
       ""from the sun to a sunflower's buds""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-1050,Evaporation,"{'text': array(['only happens in the summer',
       ""is like nature's disappearing water trick"", 'is caused by snow',
       'involves the disappearance of sunlight'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-510,"In order for crops to grow food safely, pesticides are used on them. When it floods, this causes t he what to be poisonous?","{'text': array(['air', 'Corn', 'Runoff', 'farmers'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-519,The boy was able to warm the fireplace without a lighter thanks to what?,"{'text': array(['friction', 'metal', 'wishing', 'magic'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-637,Where would a duck like to live?,"{'text': array(['the Sahara', 'Antarctica', 'the Appalachian mountains',
       'Death Valley'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
473,What do tuna eat?,"{'text': array(['Atlantic menhaden', 'Swedish fish', 'gummy fish', 'laminariales'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-445,"A woman notices that she is depressed every autumn, and wonders why. A friend suggests to her that perhaps certain changes that take place as seasons move from warm to cold may be having an effect on her. When pressed for an example of these changes, the friend cites","{'text': array(['flowers blooming', 'grass turning brown', 'trees growing',
       'blossoms blooming'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-575,is it normal for an adult animal to lay eggs?,"{'text': array(['it has never happened', 'yes it is standard',
       'it is abnormal and weird', 'all of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-284,If your dog is overweight,"{'text': array(['add more fat to their diet', 'cut back their caloric intake',
       'let them sleep more', 'increase their caloric intake'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-135,Eyes allow humans,"{'text': array(['to detect when a traffic light changes',
       'detect sour flavors in candy', 'hear music at concerts',
       'detect acrid odors in the air'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
397,Organisms covered by layers of sediment,"{'text': array(['become fossils over night', 'may end up reanimated over time',
       'develop characteristics for survival', 'may end up fueling a car'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-32,The winter solstice is on December 21st in the,"{'text': array(['counties', 'north of equator', 'states', 'southern hemisphere'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
48,A lake environment is a good setup for what to happen to organic remains?,"{'text': array(['bleaching', 'burning', 'fossilization', 'drying'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-69,were there fossil fuels in the ground when humans evolved?,"{'text': array(['this was only created by humans',
       'humans predate fossil fuel formation',
       'significant supplies accumulated prior', 'none of these'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-159,"The Grand Canyon is massive, with large, high peaks and very deep lows, which was formed when","{'text': array(['some water is around it', 'water rained on it',
       'natural waters weathered it', 'a pool was opened'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-317,What type of useful product can be made from the moving winds?,"{'text': array(['wood', 'bananas', 'electricity', 'metal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
423,The sides of the canyon are,"{'text': array(['metal', 'water', 'rivers', 'stone'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
8-304,which of these people would have the worst air quality at their residence?,"{'text': array(['a man who lives next to a landfill',
       'a man who lives in a city with the best air quality',
       'none of these', 'a man who lives in a great suburb'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
785,What is a stopwatch used for?,"{'text': array(['to rewind 5 minutes',
       'to tell what will happen 5 minutes from now', 'to voice the time',
       'to measure minutes and hours'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-1087,As a drought worsens the level at an aquifer will,"{'text': array(['stay the same', 'fluctuate wildly', 'decrease', 'increase'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
485,Wind frequently helps transport from one place to another,"{'text': array(['marble statues', 'molten magma', 'subterranean termites',
       'exposed topsoil'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-908,When a kid slams on the brakes on their bike what is caused?,"{'text': array(['bike helmet', 'avoiding accidents', 'friction', 'gearing'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1231,Sources of spices have,"{'text': array(['crystals', 'feathers', 'cell walls', 'craters'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
810,Conservation,"{'text': array(['leads to longer drought of resources',
       'leads to longer availability of resources',
       'leads to more consumption', 'leads to short supply of resources'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
158,A tree is not the habitat of a,"{'text': array(['squirrel', 'woodpecker', 'monkey', 'lion'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-445,Erosion could lead to,"{'text': array(['a change in the direction of a stream',
       'a change in ocean temperatures', 'an increase in rainy weather',
       'an increase in plants and animals'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1502,A hemisphere experiences summer when,"{'text': array([""it's tilted towards Jupiter"", ""it's angled towards the moon"",
       ""it's angled towards the largest star in the solar system"",
       ""it spins counter clockwise on Earth's axis""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1200,What date is the amount of daylight minimized,"{'text': array(['Jul 4th', 'Feb 29th', 'May 3rd', 'Sep 1st'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
437,Which term is involved with protection by skin?,"{'text': array(['Eucerin pH5 range', 'Sagittal plane', 'pyogenic vibrio',
       'popliteus'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-205,The reason Earth is so sturdy is because,"{'text': array(['It is made from rock', 'It eats three meals a day',
       'It has a loving family', 'It is made from metal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-270,A plant left in the dark,"{'text': array(['produces fruit', 'grows faster', 'fails to grow', 'gets greener'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-130,"A boy wants to use his Walkman so that he can listen to some music. When he tries to turn it on, it us unable to, and the boy realizes that he will need","{'text': array(['heat', 'metal', 'lithium-ion', 'plastic'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
229,Nuclear activity is the cause of what celestial occurrence?,"{'text': array(['axial planetary rotation', 'comets', 'planetary formation',
       ""the sun's rays""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-390,Which source provides the safest water?,"{'text': array(['River', 'Sea', 'Ocean', 'Rain'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
8-107,"A rabbit has a litter of bunnies! Most of the babies are white, just like the mother rabbit, but one baby has brown spots, like the father rabbit. The father rabbit","{'text': array(['spread out some fur', 'has black on his ears',
       'passed down inherited characteristics',
       'is the same size as the mother'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-527,Photosynthesis means plants are unable to,"{'text': array(['convert sunlight to sand', 'provide food sources for others',
       'be producers in an ecosystem', 'make their own food'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-333,"Through DNA, a rabbit will have long ears if","{'text': array(['rabbits are born with ears', 'there was a lot of food',
       'genetic contributors had long ears', 'parents were also rabbits'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-44,"There are various creatures that live in forests, such as","{'text': array(['giant fish', 'enormous crabs', 'whitetails', 'desert jackals'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-160,An octopus protects itself with,"{'text': array(['water splashing', 'running fast', 'long hands',
       'pigment squirting'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1942,Resources decreasing in an environment,"{'text': array(['induces organisms to use more of their resources',
       'causes an increase in use of resources',
       'causes an uptick in birthrate',
       'induces organisms to be more economical with resources'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-597,The sidewalk next to a house having a crack in it and having vegetation growing from it is considered?,"{'text': array(['insects', 'weathering', 'lava', 'erosion'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-35,"If you wanted to make a necklace, how long would you have to wait for the materials to appear inside the Earth?","{'text': array(['millions of years', '1 day', '10 days', '100 days'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1161,Moon phases,"{'text': array(['change the moon into cheese',
       ""alter the way the moon's facade looks"",
       'change moon lakes into vapor', 'cause lunar eclipse every day'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-171,"If hot water were poured on an arm, what would happen to internal organs?","{'text': array(['they would be scalded', 'organs would remain uneffected',
       'they would begin to decay', 'they would experience pain'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1139,Barnyard bovines,"{'text': array(['eat organic chicken', 'eat eggs', 'eat beef', 'eat alfalfa hay'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1924,Desert environments features,"{'text': array(['tropical plants', 'tons of sun', 'massive rain totals',
       'icy precipitation'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-440,"a large cluster of humans, dogs, apple trees, atmosphere and more can be called","{'text': array(['army of ants', 'a community', 'a toy store', 'a shopping mall'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-528,"A person is considering various organs, and is looking at which ones will be most muscular. A contender for most muscular is","{'text': array(['the lungs', 'the kidney', 'the heart', 'the liver'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
170,Which pair don't reproduce the same way?,"{'text': array(['rabbit and hare', 'mule and hinny', 'cat and catfish',
       'caterpillar and butterfly'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
395,Which of the following is warm blooded?,"{'text': array(['toad', 'snake', 'turtle', 'skunk'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-633,"A male bird spots a female of his species and begins a fancy dance, flashing his bright feathers around in the air, showing off. This male is attempting to procure","{'text': array(['a manager', 'an agent', 'a meal', 'a reproductive companion'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-504,Vast quantities of metal can be obtained from,"{'text': array(['a quarry', 'concerts', 'forests', 'salt'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-192,Roasting a turkey requires adding what type of energy,"{'text': array(['Heat', 'Kinetic', 'Magnetic', 'Chemical'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-1108,Dry environments often,"{'text': array(['liberally use water for everything', 'allow plants to flourish',
       'require people to move', 'institute rules about water usage'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-852,Phloem moves things around a plant similar to how,"{'text': array(['blood moves in a body', 'leaves move in the wind',
       'water moves in a system', 'cars move on a street'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
761,Where would a polar bear be most comfortable?,"{'text': array(['Arizona', 'Georgia', 'Florida', 'Nebraska'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
8-318,"When a plane is in the sky and is several miles away, the light seen is barely visible, but when it is drawing near","{'text': array(['light is far away', 'light is more easily seen',
       'light is more distant', 'light is further away'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
636,Members of rock bands often perform with,"{'text': array(['flutes', 'sandals', 'earplugs', 'gloves'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-444,Muscles move bones to produce movement like when,"{'text': array(['arms are resting', 'hair is growing', 'smiles are invisible',
       'toes are wiggled'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
8-57,How is electricity produced from the ocean?,"{'text': array(['decaying organic material from sealife',
       'energy is accessed underwater from tides',
       'drills to access oil supplies',
       'chemical reactions produced from the salt in the water'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-187,small reptile's diet consists mostly of,"{'text': array(['invertebrates', 'insects', 'mammals', 'fish'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1345,The life work of a flower is to,"{'text': array(['provide nice scents', 'be successfully fertilized',
       'grow very tall', 'look pretty'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-59,Which of these would create the most sound if struck with a metal spoon?,"{'text': array(['the plastic water bottle', 'the backside of a person',
       'the hair on a doll', 'the chassis of a car'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
178,During landslides there is often a lot of,"{'text': array(['air', 'mud', 'snow', 'wind'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-1186,An example of a chemical reaction would be,"{'text': array(['A rusty fence', 'Sleeping', 'Drinking water', 'Rain'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
82,The size of an object and the ability to see it more easily have what kind of relationship?,"{'text': array(['equal', 'inverse', 'direct', 'reverse'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-165,Tuna primarily eat,"{'text': array(['parasites, soybeans and flaxseeds',
       'sea turtles, sharks and coral reefs',
       'spineless marine organisms, cartilaginous and gelatinous organisms',
       'sea vegetables like kelp, Irish moss and Arame'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
404,Evaporation of water can lead to,"{'text': array(['waterfalls', 'blizzards', 'earthquakes', 'hot springs'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
279,What is an electrical energy conductor?,"{'text': array(['horseshoe', 'tire', 'cotton shirt', 'maple branch'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-532,What kind of substance will cool when it touches a cold object?,"{'text': array(['warm', 'frozen', 'chilly', 'cold'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
268,Scraping an object,"{'text': array(['may cause the object to grow in size',
       'may cause the object to fall',
       'may cause pieces to flake off the object',
       'may cause the object to snap in half'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-1018,A pulley is used to lift a flag on a flagpole by,"{'text': array(['moving a rope sideways', 'putting something in the air',
       'moving things with wheels', 'yanking string up a wheel'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
1756,Which animal lays eggs,"{'text': array(['emus', 'dogs', 'squirrels', 'giraffes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1137,Dunes can be made out of the same thing as,"{'text': array(['clothes', 'food', 'forests', 'castles'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-203,A learned behavior is exhibited when,"{'text': array(['squinting in bright light', 'inhaling and exhaling during sleep',
       'blinking and gulping air', 'nailing up a picture frame'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
745,Wax can be used similarly to,"{'text': array(['wood', 'rubber', 'water', 'metal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-902,Bill planted rapeseed in his field one year and soybeans the next in order to,"{'text': array(['get bigger yields', 'make things boring', 'keep things random',
       'get smaller yields'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1095,What is the primary reason my duck feather filled jacket works well against the snow,"{'text': array(['feathers slows heat transfer', 'the natural duck wax',
       'a synthetic thick liner', 'small flexible solar panels'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
7-163,Turbines churning seawater can be used to produce what?,"{'text': array(['a charge for appliances', 'large quantities of soup',
       'large schools of fish', 'creating some sharp cheese'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-858,What will increase when a substance absorbs solar energy?,"{'text': array(['weight', 'height', 'hotness', 'nutrition'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1530,Which of these travels through the air?,"{'text': array(['planets', 'thoughts', 'automobile', 'music'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-993,"A company makes notebooks for college courses, so their main material is","{'text': array(['chips', 'water', 'grass', 'trees'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
8-340,Rain is usually guaranteed when all are present but,"{'text': array(['cirrus clouds', 'cumulus clouds', 'hail stones',
       'direct sunshine'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
3,Sources of air pollution are,"{'text': array(['Walking', 'Landfills', 'Water', 'Chips'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1074,What are iron nails made out of?,"{'text': array(['wood', 'plastic', 'metal', 'glass'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-431,Putting one kind of soda into the same cup as another kind of soda is doing what to the substances?,"{'text': array(['combining', 'drinking', 'Subtracting', 'throwing'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-638,A moth leaving it's cocoon is the final step in a,"{'text': array(['life cycle', 'transformation', 'recycling process',
       'chemical reaction'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-352,Which of these combinations would be desired if someone wanted to make a cutting implement that lasts a long time?,"{'text': array(['ice and snow', 'sticks and stones', 'snow and water',
       'iron and carbon'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
226,Which of the following is powered the same way an electric car is?,"{'text': array(['a bicycle', 'a motorcycle', 'a propane grill', 'a blender'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-132,Aluminum is what?,"{'text': array(['reprocessable', 'plastic', 'liquid', 'absorbent'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-222,To get warm frogs can,"{'text': array(['wear a Christmas sweater', 'Drink a hot chocolate',
       'Go for a run', 'sit under a lamp'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-105,"if you put wine from a jug into a thin bottle, how come it conforms?","{'text': array(['it exhibits absolute rigidity', 'it is a solid mass',
       'all of these', 'it is a variable substance'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-459,Earthworms create tunnels in,"{'text': array(['ice', 'dirt', 'water', 'concrete'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
9-881,when worms return nutrients from dead organisms to the soil by eating them it is known as,"{'text': array(['regurgitation', 'decomposition', 'recycling', 'burial'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
280,The aluminum cans were much hotter than the,"{'text': array(['gold jewelry', 'wooden fence', 'brass doorknob', 'steel pole'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
187,Which of the following is not an input in photosynthesis?,"{'text': array(['sunlight', 'oxygen', 'water', 'carbon dioxide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-253,which of these are you most likely to find in a desert?,"{'text': array(['a hammer head shark', 'a big tilapia fish',
       'a prickly horned male lizard', 'none of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-482,"If your dog sits in an oxygen deficient chamber, what happens?","{'text': array(['it will be fine', 'it will be happy', 'it will be comfortable',
       'It will pass out'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
496,Which of the following can be used to turn on an electrical device?,"{'text': array(['solar-rechargeable battery', 'a wedge', 'a magnet',
       'pressure gauge'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
630,Which of the following contains large amounts of salt water?,"{'text': array(['The Amazon', 'The Nile', 'The Indian', 'The Mississippi'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-16,The nimbleness of this animal is a key adaption that allows it to escape attacks from predators:,"{'text': array(['the butterfly', 'the sloth', 'the praying mantis', 'the antelope'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
