id,question_stem,choices,urdu_question_stem,urdu_choices,answerKey
10-1210,Photosynthesis features,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['single celled organisms', 'humans', 'cats', 'fish'], dtype=object)}",ضیائی تالیف کن کی خصوصیت ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['یک خلوی جاندار', 'انسان', 'بلیاں', 'مچھلیاں'], dtype=object)}",A
10-1211,When a lake receives too much rain it will,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array([""swell beyond it's banks"", 'reverse direction of flow',
       ""lower it's water level"", 'dry up all together'], dtype=object)}",جب کسی جھیل میں بہت زیادہ بارش ہوتی ہے تو...,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['وہ اپنے کناروں سے باہر نکل جاتی ہے',
       'اس کے بہاؤ کی سمت الٹ جاتی ہے', 'اس کی پانی کی سطح کم ہو جاتی ہے',
       'وہ مکمل طور پر خشک ہو جاتی ہے'], dtype=object)}",A
10-1212,Solar energy called sunlight originates from,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['jupiter', 'center of universe', 'our celestial star',
       'deep space'], dtype=object)}",شمسی توانائی جسے سورج کی روشنی کہا جاتا ہے، کا ماخذ ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['مشتری', 'کائنات کا مرکز', 'ہمارا آسمانی ستارہ', 'گہری خلا'],
      dtype=object)}",C
10-1214,Which ingredient may cause chemical change?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['almonds', 'milk', 'citrus juice', 'olive oil'], dtype=object)}",کون سا جزو کیمیائی تبدیلی کا سبب بن سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بادام', 'دودھ', 'ترش پھلوں کا رس', 'زیتون کا تیل'], dtype=object)}",C
10-1217,matter is made of what?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['united atoms', 'sound', 'feelings', 'bonds of friendship'],
      dtype=object)}",مادہ کس چیز سے بنا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['متحد ایٹموں', 'آواز', 'احساسات', 'دوستی کے بندھن'], dtype=object)}",A
10-1218,What does a hand dryer produce?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['growth', 'money', 'carbs', 'hotness'], dtype=object)}",ہینڈ ڈرائر کیا پیدا کرتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نشوونما', 'پیسہ', 'کاربز', 'گرمی'], dtype=object)}",D
10-1219,Depressions in building materials that fill with frozen water will,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['decompose', 'collapse', 'contract', 'expand'], dtype=object)}",تعمیراتی مواد میں گڑھے جو جمے ہوئے پانی سے بھر جاتے ہیں، وہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['تحلیل ہو جائیں گے', 'منہدم ہو جائیں گے', 'سکڑ جائیں گے',
       'پھیل جائیں گے'], dtype=object)}",D
10-1220,Liz's 72 Mustang stopped on the highway because it had run out of fuel. What does she need?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['an available electrical outlet', 'A product derived from oil',
       'a clean solar panel', 'a new set of spark plugs'], dtype=object)}",لز کی 72 مستینگ ہائی وے پر رک گئی کیونکہ اس کا ایندھن ختم ہو گیا تھا۔ اسے کس چیز کی ضرورت ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک دستیاب بجلی کا آؤٹ لیٹ', 'تیل سے حاصل کردہ ایک مصنوعات',
       'ایک صاف سولر پینل', 'اسپارک پلگز کا ایک نیا سیٹ'], dtype=object)}",B
10-1221,A highly polished surface will,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['absorb light energy', 'redirect light energy', 'attract shadows',
       'shatter'], dtype=object)}",ایک انتہائی پالش شدہ سطح,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['روشنی کی توانائی جذب کرے گی', 'روشنی کی توانائی کا رخ موڑ دے گی',
       'سایوں کو اپنی طرف کھینچے گی', 'چکنا چور ہو جائے گی'], dtype=object)}",B
10-1226,A skunk produces a bad what?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['food', 'reek', 'computer', 'title'], dtype=object)}",اسکنک کیا بُری چیز پیدا کرتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کھانا', 'بدبو', 'کمپیوٹر', 'عنوان'], dtype=object)}",B
11-1,Which would directly follow the appearance of grey clouds?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['UFOs', 'planes', 'sleet', 'tsunami'], dtype=object)}",سرمئی بادلوں کے نمودار ہونے کے بعد براہ راست کیا ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اڑن طشتریاں', 'طیارے', 'برفانی بارش', 'سونامی'], dtype=object)}",C
11-2,"A piglet was accidentally stepped on. In order to heal up, the piglet is offered","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a new toy', 'a pet puppy', 'slop', 'a warm bath'], dtype=object)}",ایک سور کے بچے پر غلطی سے پیر رکھ دیا گیا۔ صحت یاب ہونے کے لیے، اسے پیشکش کی گئی,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک نیا کھلونا', 'ایک پالتو پلا', 'دلیا', 'گرم پانی سے غسل'],
      dtype=object)}",C
11-4,A moth that experiences a metamorphosis will change,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sex', 'shape', 'species', 'religion'], dtype=object)}",میٹامورفوسس (شکل کی تبدیلی) سے گزرنے والا پتنگا اپنی ___ بدلتا ہے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جنس', 'شکل', 'نوع', 'مذہب'], dtype=object)}",B
11-5,A particular bird has very bright multi-colored feathers. This could help them,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['find the mother of its future children',
       'attract a plane to rescue them', 'find a good source of food',
       'become famous in movies'], dtype=object)}",ایک خاص پرندے کے پر بہت چمکدار اور رنگ برنگے ہوتے ہیں۔ اس سے اسے مدد مل سکتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اپنے ہونے والے بچوں کی ماں تلاش کرنے میں',
       'انہیں بچانے کے لیے ایک ہوائی جہاز کو متوجہ کرنے میں',
       'خوراک کا ایک اچھا ذریعہ تلاش کرنے میں',
       'فلموں میں مشہور ہونے میں'], dtype=object)}",A
11-7,A rabbit might die if,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['it has insufficient money to buy food',
       'all the greenery was burned in a fire',
       ""all of the rabbit's prey has disappeared"",
       'all the other rabbits shun it'], dtype=object)}",ایک خرگوش مر سکتا ہے اگر,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اس کے پاس کھانا خریدنے کے لیے ناکافی پیسے ہوں',
       'تمام ہریالی آگ میں جل جائے', 'خرگوش کے تمام شکار غائب ہو جائیں',
       'باقی تمام خرگوش اسے چھوڑ دیں'], dtype=object)}",B
11-8,Which is the least massive?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the Earth', 'the moon', 'the sun', 'the solar system'],
      dtype=object)}",سب سے کم کمیت کس کی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['زمین', 'چاند', 'سورج', 'نظام شمسی'], dtype=object)}",B
11-9,Which of these is a side effect of vegetable farming?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['clowns', 'happy dogs', 'fertilizer sickness', 'cats'],
      dtype=object)}",ان میں سے کون سا سبزیوں کی کاشتکاری کا ایک ضمنی اثر ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['مسخرے', 'خوش کتے', 'کھاد سے ہونے والی بیماری', 'بلیاں'],
      dtype=object)}",C
11-11,Heat causes,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['water to turn to vapor in a process called condensation',
       'water to melt in a process called condensation',
       'water to turn to vapor in a process called evaporation',
       'water to melt in a process called abomination'], dtype=object)}",حرارت کی وجہ سے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پانی تکثیف کے عمل سے بخارات میں تبدیل ہوتا ہے',
       'پانی تکثیف کے عمل سے پگھلتا ہے',
       'پانی تبخیر کے عمل سے بخارات میں تبدیل ہوتا ہے',
       'پانی ایک مکروہ عمل سے پگھلتا ہے'], dtype=object)}",C
11-13,Which is likely to be seen at the zoo?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a polar bear in the jungle habitat', 'a zebra in the arctic zone',
       'an alligator in the petting zoo', 'a snake under a hot lamp'],
      dtype=object)}",چڑیا گھر میں کیا نظر آنے کا امکان ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جنگل کے ماحول میں ایک قطبی ریچھ', 'قطبی علاقے میں ایک زیبرا',
       'پیٹنگ زو میں ایک مگرمچھ', 'گرم لیمپ کے نیچے ایک سانپ'],
      dtype=object)}",D
11-18,A successful combination of things is,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['tomatoes and peppers', 'nylon and carpet', 'milk and honey',
       'sand and socks'], dtype=object)}",چیزوں کا ایک کامیاب امتزاج ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ٹماٹر اور مرچیں', 'نائلون اور قالین', 'دودھ اور شہد',
       'ریت اور جرابیں'], dtype=object)}",C
11-20,"In NYC, what would you expect during December?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['less day light', 'less rain', 'less weather', 'less moonlight'],
      dtype=object)}",نیو یارک شہر میں دسمبر کے دوران آپ کس چیز کی توقع کریں گے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['دن کی روشنی کا کم ہونا', 'کم بارش', 'کم موسم', 'کم چاندنی'],
      dtype=object)}",A
11-21,Where would a river flow downwards?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['at the zoo', 'on the mountainside', 'on the prairie',
       'on flat land'], dtype=object)}",دریا نیچے کی طرف کہاں بہے گا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['چڑیا گھر میں', 'پہاڑ کے ڈھلوان پر', 'گھاس کے میدان پر',
       'ہموار زمین پر'], dtype=object)}",B
11-23,"A deer, shark, human and rose share which common activity?","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['eating cheese', 'marrying', 'defecating', 'building ships'],
      dtype=object)}",ایک ہرن، شارک، انسان اور گلاب میں کون سی سرگرمی مشترک ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پنیر کھانا', 'شادی کرنا', 'فضلہ خارج کرنا', 'بحری جہاز بنانا'],
      dtype=object)}",C
11-25,Which process does the slate that comes from shale come from?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['height', 'compression', 'gravity', 'steel'], dtype=object)}",شیل سے بننے والی سلیٹ کس عمل کے ذریعے وجود میں آتی ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بلندی', 'دباؤ', 'کشش ثقل', 'فولاد'], dtype=object)}",B
11-27,Where would the environment be driest?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['the arctic tundra', 'the Gobi Desert', 'the Salton Sea',
       'the rain forest'], dtype=object)}",ماحول سب سے زیادہ خشک کہاں ہوگا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['آرکٹک ٹنڈرا', 'صحرائے گوبی', 'سالٹن سمندر', 'برساتی جنگل'],
      dtype=object)}",B
11-28,A hard wind blowing at the back of a bike that is being peddled forward will,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['make it stop', 'speed it up', 'slow it down', 'blow it up'],
      dtype=object)}",آگے بڑھتی ہوئی سائیکل کے پیچھے سے چلنے والی تیز ہوا اسے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['روک دے گی', 'تیز کر دے گی', 'سست کر دے گی', 'اڑا دے گی'],
      dtype=object)}",B
11-29,"A pot of water is ready to cook noodles when it is boiling, as noted by","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['salty taste', 'water smell', 'bubble production', 'cool water'],
      dtype=object)}",پانی کا برتن نوڈلز پکانے کے لیے تیار ہوتا ہے جب وہ ابل رہا ہو، جس کا اندازہ اس سے ہوتا ہے:,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نمکین ذائقہ', 'پانی کی بو', 'بلبلوں کا بننا', 'ٹھنڈا پانی'],
      dtype=object)}",C
11-30,Which would reach the other side of a room the fastest?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array([""the world's fastest bird"", ""the world's fastest sprinter"",
       'the light from a flashlight', 'an extremely loud audio signal'],
      dtype=object)}",کمرے کے دوسرے سرے پر سب سے تیزی سے کیا پہنچے گا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['دنیا کا سب سے تیز رفتار پرندہ', 'دنیا کا سب سے تیز رفتار سپرنٹر',
       'ٹارچ کی روشنی', 'ایک انتہائی بلند صوتی سگنل'], dtype=object)}",C
11-31,Long decayed plant life would most likely fuel our,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['nuclear power plants', 'dogs', 'motorcycles', 'bodies'],
      dtype=object)}",طویل عرصے سے گلے سڑے پودے زیادہ تر ہماری کس چیز کو ایندھن فراہم کریں گے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['نیوکلیئر پاور پلانٹس', 'کتے', 'موٹر سائیکلیں', 'جسم'],
      dtype=object)}",C
11-33,A lily wants to spread its genetic material around and so relies upon,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['beads', 'assistance', 'shopping', 'patients'], dtype=object)}",ایک للی اپنے جینیاتی مواد کو پھیلانے کے لیے انحصار کرتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['منکوں پر', 'مدد پر', 'خریداری پر', 'مریضوں پر'], dtype=object)}",B
11-35,When a dog adjusts its temperature,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['it pants', 'it finds water', 'it sweats', 'it shirts'],
      dtype=object)}",جب کتا اپنا درجہ حرارت منظم کرتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['وہ ہانپتا ہے', 'وہ پانی ڈھونڈتا ہے', 'اسے پسینہ آتا ہے',
       'وہ قمیض پہنتا ہے'], dtype=object)}",A
11-36,"A person wants to use a raw material to make a toy, so they use","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['bronze', 'plastic', 'denim', 'logs'], dtype=object)}",ایک شخص کھلونا بنانے کے لیے خام مال استعمال کرنا چاہتا ہے، تو وہ استعمال کرتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کانسی', 'پلاسٹک', 'ڈینم', 'لکڑی کے لٹھے'], dtype=object)}",D
11-37,A thing may be changed on a chemical level after,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['putting it in a tree', 'making it pay rent', 'setting it on fire',
       'looking at it through a mirror'], dtype=object)}",ایک چیز میں کیمیائی سطح پر تبدیلی آ سکتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اسے درخت میں رکھنے کے بعد', 'اس سے کرایہ وصول کرنے کے بعد',
       'اسے آگ لگانے کے بعد', 'اسے آئینے میں دیکھنے کے بعد'], dtype=object)}",C
11-38,"A person wants to play a song out yet lacks an instrument, so they can","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['think about a piano', 'hold a paper towel tube',
       'flick a taut rubber band', 'look at a table'], dtype=object)}",ایک شخص گانا بجانا چاہتا ہے لیکن اس کے پاس کوئی ساز نہیں ہے، تو وہ...,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['پیانو کے بارے میں سوچے', 'کاغذی تولیے کی ٹیوب پکڑے',
       'ایک کسے ہوئے ربڑ بینڈ کو چھیڑے', 'میز کو دیکھے'], dtype=object)}",C
11-39,"A laser produces a light source, which may be useful in","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['cleaning a glass', 'juggling stones', 'playing with felines',
       'doing the dishes'], dtype=object)}",لیزر روشنی کا ایک ذریعہ پیدا کرتا ہے، جو کہ مفید ہو سکتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گلاس صاف کرنے میں', 'پتھروں سے بازی گری کرنے میں',
       'بلیوں کے ساتھ کھیلنے میں', 'برتن دھونے میں'], dtype=object)}",C
11-41,"A person has a hot dish from the oven that they have left on the counter. After a few minutes, they place that dish into a sink full of cold water. The dish","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['warms', 'freezes', 'dies', 'chills'], dtype=object)}",ایک شخص نے اوون سے ایک گرم ڈش نکال کر کاؤنٹر پر رکھی۔ چند منٹ بعد، اس نے وہ ڈش ٹھنڈے پانی سے بھرے سنک میں رکھ دی۔ اس سے ڈش _____,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گرم ہو جائے گی', 'جم جائے گی', 'مر جائے گی', 'ٹھنڈی ہو جائے گی'],
      dtype=object)}",D
11-44,A large source of heat can be seen in the,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['sky', 'cave', 'ocean', 'tree trunk'], dtype=object)}",حرارت کا ایک بڑا ذریعہ ___ میں دیکھا جا سکتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['آسمان', 'غار', 'سمندر', 'درخت کا تنا'], dtype=object)}",A
11-45,Which of the following can die if it gets too cold?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['iced coffee', 'snow', 'bears', 'Pluto'], dtype=object)}",مندرجہ ذیل میں سے کون زیادہ سردی لگنے سے مر سکتا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['آئسڈ کافی', 'برف', 'ریچھ', 'پلوٹو'], dtype=object)}",C
11-47,A person needing to use a renewable resource would consider all with the exception of,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['solar energy', 'water source', 'hydrocarbon gas mixture',
       'wind power'], dtype=object)}",قابل تجدید وسائل استعمال کرنے والے شخص کے لیے، مندرجہ ذیل سبھی قابل غور ہیں سوائے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['شمسی توانائی', 'پانی کا ذریعہ', 'ہائیڈروکاربن گیس کا آمیزہ',
       'ہوا کی طاقت'], dtype=object)}",C
11-48,A cloud could form in a home if the conditions were right and steam could,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['gather', 'file', 'burn', 'stem'], dtype=object)}",گھر میں بادل بن سکتا ہے اگر حالات ٹھیک ہوں اور بھاپ ___ سکے۔,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['جمع ہو', 'فائل', 'جل', 'رک'], dtype=object)}",A
11-49,"A person feeds their cows corn. They grow an acre of corn each year for the herd. They add another thirty cows to their herd, so they","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['burn the corn', 'grow less corn', 'plant several acres',
       'remove some cows'], dtype=object)}",ایک شخص اپنی گایوں کو مکئی کھلاتا ہے۔ وہ ہر سال اپنے ریوڑ کے لیے ایک ایکڑ مکئی اگاتا ہے۔ اس نے اپنے ریوڑ میں مزید تیس گائیں شامل کی ہیں، لہذا اسے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['مکئی جلا دینی ہے', 'کم مکئی اگانی ہے', 'کئی ایکڑ کاشت کرنے ہیں',
       'کچھ گائیں ہٹا دینی ہیں'], dtype=object)}",C
11-52,Which object would be best at heating up in the sunlight?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a clear solar panel', 'a black solar panel',
       'a white solar panel', 'an invisible solar panel'], dtype=object)}",دھوپ میں کون سی چیز سب سے اچھی گرم ہوگی؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک شفاف سولر پینل', 'ایک سیاہ سولر پینل', 'ایک سفید سولر پینل',
       'ایک نادیدہ سولر پینل'], dtype=object)}",B
11-53,John's shadow looks like it's directly underneath him. What time is it?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['9am', '12pm', '12am', '2pm'], dtype=object)}",جان کا سایہ بالکل اس کے نیچے نظر آ رہا ہے۔ کیا وقت ہوا ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['صبح 9 بجے', 'دوپہر 12 بجے', 'رات 12 بجے', 'دوپہر 2 بجے'],
      dtype=object)}",B
11-55,A viscous liquid found underground can be made to create something that,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['feeds your dog', 'foretells the future', 'tastes like milk',
       'makes cars move'], dtype=object)}",زیرِ زمین پائے جانے والے ایک گاڑھے مائع سے ایسی چیز بنائی جا سکتی ہے جو,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['آپ کے کتے کو کھلاتی ہے', 'مستقبل کی پیشین گوئی کرتی ہے',
       'دودھ جیسا ذائقہ رکھتی ہے', 'گاڑیوں کو چلاتی ہے'], dtype=object)}",D
11-56,A parent may genetically share with a child of their own conception,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['many freckles', 'new songs', 'big pizzas', 'silly faces'],
      dtype=object)}",ایک والد اپنے بچے کے ساتھ جینیاتی طور پر اشتراک کر سکتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بہت سی چھائیاں', 'نئے گانے', 'بڑے پیزا', 'عجیب و غریب چہرے'],
      dtype=object)}",A
11-57,Which of the following is likely to eat berries?,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['a sparrow', 'a lobster', 'a tiger', 'a walrus'], dtype=object)}",مندرجہ ذیل میں سے کس کے بیریاں کھانے کا امکان ہے؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ایک چڑیا', 'ایک جھینگا', 'ایک شیر', 'ایک والرس'], dtype=object)}",A
11-58,"Chloroplasts need to be collected, so scientists gather up","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['carnations', 'sparrows', 'stones', 'feathers'], dtype=object)}",کلوروپلاسٹ جمع کرنے کے لیے، سائنسدان اکٹھا کرتے ہیں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['کارنیشن', 'چڑیاں', 'پتھر', 'پر'], dtype=object)}",A
11-61,"As rabbits in a county die off, foxes will","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['live longer', 'boom in population', 'do the same', 'eat trees'],
      dtype=object)}",کسی علاقے میں خرگوشوں کے ختم ہونے سے، لومڑیاں,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['زیادہ عرصے تک زندہ رہیں گی', 'ان کی آبادی میں تیزی سے اضافہ ہوگا',
       'بھی مر جائیں گی', 'درخت کھانے لگیں گی'], dtype=object)}",C
11-62,"At 30 degress fahrenheit, water is","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['hot', 'solid', 'quenching', 'gaseous'], dtype=object)}",30 ڈگری فارن ہائیٹ پر پانی ہوتا ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['گرم', 'ٹھوس', 'پیاس بجھانے والا', 'گیسی'], dtype=object)}",B
11-66,Rocks folded over and over which developed,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['tall areas', 'wet rivers', 'large trees', 'grassy yards'],
      dtype=object)}",چٹانیں جو بار بار تہہ ہوئیں ان سے کیا وجود میں آیا؟,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اونچے علاقے', 'گیلے دریا', 'بڑے درخت', 'گھاس والے صحن'],
      dtype=object)}",A
11-67,Glass can become a liquid if,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['it is baked', 'it is frozen', 'it is dampened', 'it is dyed'],
      dtype=object)}",شیشہ مائع بن سکتا ہے اگر,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['اسے تپایا جائے', 'اسے جمایا جائے', 'اسے نم کیا جائے',
       'اسے رنگا جائے'], dtype=object)}",A
11-68,Overeating,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['causes massive weight loss',
       'causes the number on the scale to go up',
       'boosts the immune system',
       'causes the number on the scale to go down'], dtype=object)}",زیادہ کھانا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['وزن میں بہت زیادہ کمی کا باعث بنتا ہے',
       'وزن کے کانٹے پر عدد بڑھنے کا سبب بنتا ہے',
       'قوتِ مدافعت کو بڑھاتا ہے',
       'وزن کے کانٹے پر عدد کم ہونے کا سبب بنتا ہے'], dtype=object)}",B
11-72,A person approaching a dog from across a street can note that the dog,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['looks tiny when nearer', 'is minuscule in person',
       'looks more sizable after approaching', 'looks smaller up close'],
      dtype=object)}",سڑک کے دوسری طرف سے کتے کے قریب آنے والا شخص یہ دیکھ سکتا ہے کہ کتا,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['قریب آنے پر چھوٹا نظر آتا ہے', 'حقیقت میں بہت چھوٹا ہے',
       'قریب آنے پر زیادہ بڑا دکھائی دیتا ہے', 'قریب سے چھوٹا نظر آتا ہے'],
      dtype=object)}",C
11-75,"A storm ravages a town for a week straight, complete with deluges of rain. If someone in that town needs a source of water, it is","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['everywhere', 'missing', 'in short supply', 'rare'], dtype=object)}",ایک طوفان ایک قصبے میں پورے ایک ہفتے تک تباہی مچاتا ہے، جس میں موسلادھار بارشیں بھی شامل ہیں۔ اگر اس قصبے میں کسی کو پانی کے ذریعے کی ضرورت ہو، تو وہ,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['ہر جگہ ہے', 'غائب ہے', 'کم مقدار میں ہے', 'نایاب ہے'],
      dtype=object)}",A
11-78,A change on our planet could be,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['cats eating mice', 'forests becoming lakes', 'clouds raining',
       'deer running'], dtype=object)}",ہمارے سیارے پر ایک تبدیلی ہو سکتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['بلیوں کا چوہے کھانا', 'جنگلات کا جھیلیں بننا', 'بادلوں کا برسنا',
       'ہرن کا دوڑنا'], dtype=object)}",B
11-79,"An iris may have trouble thriving in an arid location, or even in a frozen location, because it needs","{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['to be dried and preserved', 'a certain climate to boom',
       'a bucket of ice water', 'to be buried in snow'], dtype=object)}",ایک آئرس کو خشک یا منجمد مقام پر پھلنے پھولنے میں دشواری ہو سکتی ہے، کیونکہ اسے ضرورت ہوتی ہے,"{'label': array(['A', 'B', 'C', 'D'], dtype=object), 'text': array(['خشک اور محفوظ کیے جانے کی',
       'پھلنے پھولنے کے لیے ایک خاص آب و ہوا کی',
       'برف کے پانی کی ایک بالٹی کی', 'برف میں دبائے جانے کی'],
      dtype=object)}",B
