id,question_stem,choices,answerKey,pashto_question,pashto_choices
9-29,What could be a positive aspect of a tree being cut down?,"{'text': array(['the plants that were under the tree will have access to more light',
       'the squirrels that were in that tree will have an easier time getting to their home',
       'Plants under the tree will get cooled off by the shade',
       'The sun will shine brighter than before'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د یوې ونې پرې کولو مثبت اړخ څه کیدی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""هغه بوټي چې د ونې لاندې وو، به نور رڼا ته لاسرسی ولري"", ""هغه سنجابان چې په دې ونه کې وو، به د خپل کور ته لاړ شي"", ""د ونې لاندې بوټي به د سیوري له امله یخ شي"", ""لمر به د مخکې په پرتله روښانه شي""]}"
9-368,Birds carrying away fruit helps the tree,"{'text': array(['grow', 'fertilize', 'reproduce', 'conquer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,مرغان چې میوه اخلي، د ونې سره مرسته کوي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""غوړیدل"", ""سرسبزول"", ""تولیدول"", ""فتح کول""]}"
7-671,"If a UFO is flying overhead and looks small, then large, then","{'text': array(['the UFO is calling', 'the UFO had been close',
       'the UFO is approaching', 'the UFO is leaving'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,که یو UFO د سر په سر الوتنه کوي او وړوکی ښکاري، بیا لوی، نو,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""UFO غږ کوي"", ""UFO نږدې و"", ""UFO راځي"", ""UFO ځي""]}"
1272,Inherited behavior is exhibited when,"{'text': array(['bears take a long winter sleep', 'dogs sit on command',
       'seals clap for their trainers', 'rats navigate thru a maze'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,وراثتي چلند هغه وخت څرګندېږي کله چې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""خرسونه اوږد ژمی خوب کوي"", ""سپي د امر په اساس ناستېږي"", ""مهرې د خپلو روزونکو لپاره تالیف کوي"", ""موشونه د یوه لابیرنت له لارې تګ کوي""]}"
648,What likely explains deforestation?,"{'text': array(['Increased insect populations', 'Clearing for farming',
       'reduction in rainfall', 'More carbon dioxide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د ځنګل د له منځه وړلو احتمال څه شی دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د حشراتو زیاتوالی"", ""د کرنې لپاره پاکول"", ""د باران کمښت"", ""زیات کاربن ډای اکساید""]}"
9-1180,Mosquitoes enjoy all the people at a BBQ in the summer for what reason?,"{'text': array(['steak', 'blood', 'nice weather', 'taking food'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,مچان د دوبي په موسم کې د BBQ په وخت کې د خلکو سره ولې خوند اخلي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""غوشت"", ""خون"", ""ښه هوا"", ""خواړه اخیستل""]}"
9-227,The surface of the moon contains,"{'text': array(['dogs', 'water', 'high peaks', 'humans'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د سپوږمۍ سطحه څه لري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""سپي"", ""اوبه"", ""لوړې قله"", ""انسانان""]}"
1582,A tool used to identify the percent chance of a trait being passed down has at least,"{'text': array(['four boxes', 'eight boxes', 'two boxes', 'six boxes'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,یو وسیله چې د یوې ځانګړتیا د انتقال احتمال معلوموي، لږ تر لږه څومره بکسونه لري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""څلور بکسونه"", ""اته بکسونه"", ""دو بکسونه"", ""شپږ بکسونه""]}"
8-125,"A prisoner is kept in a stone room, unable to see the sun. The prisoner knows that he needs vitamin D to survive, so he","{'text': array(['asks for milk', 'asks for television', 'asks for water',
       'asks for sleep'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,یو بندی په یوه ډبري خونه کې ساتل شوی، چې لمر نه شي لیدلی. بندی پوهیږي چې د بقا لپاره ویټامین D ته اړتیا لري، نو هغه,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د شیدو غوښتنه کوي"", ""د تلویزیون غوښتنه کوي"", ""د اوبو غوښتنه کوي"", ""د خوب غوښتنه کوي""]}"
1923,When trying to pull a rose out of the ground why do you encounter resistance?,"{'text': array(['roots', 'tensile strength', 'plant temperature', 'plant color'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,کله چې د ګلاب د ریښې راویستلو هڅه کوئ، ولې مقاومت سره مخ کیږئ؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ریښې"", ""د کشش ځواک"", ""د نبات تودوخه"", ""د نبات رنګ""]}"
9-229,A bat flew through the sky without hitting anything due to which of these?,"{'text': array(['rainy sky to fly in', 'fast truck to drive',
       'a car with gasoline', 'surfaces to reflect sound off'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یو خفاش د آسمان له لارې پرته له دې چې څه شی ووهی الوتنه وکړه، د دې له امله څه شی دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""باراني آسمان"", ""چټک ټرک"", ""د پټرول سره موټر"", ""د غږ د انعکاس لپاره سطوح""]}"
1702,How can we see that the coloration of fur is an inherited characteristic?,"{'text': array(['puppies have soft fur', 'kittens look like their parents',
       'all mammals are born with fur', 'baby rats are mostly bald'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,موږ څنګه پوهیږو چې د پښو رنګ یوه وراثتي ځانګړتیا ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""زویان نرم پښې لري"", ""پیشوګان د خپلو والدینو په څیر ښکاري"", ""ټول ممالیک د پښو سره زیږیدلي دي"", ""کوچني موشونه عموماً بې پښو دي""]}"
8-260,Decaying vegetation is part of the process that,"{'text': array(['enables nuclear power to function',
       'enables to emitting of light beams',
       'enables gas powered motors to operate',
       'enables windmills to power electric grids'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د خرابیدونکي بوټو مواد د کوم پروسې برخه ده چې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د اټومي بریښنا د کار کولو توان ورکوي"", ""د رڼا د شعاعو د خپرولو توان ورکوي"", ""د ګازو بریښنايي موټرو د کار کولو توان ورکوي"", ""د بادونو د بریښنايي شبکو د ځواکمن کولو توان ورکوي""]}"
9-491,"After a torrential downpour over a week, a man notices that the pond in his backyard is","{'text': array(['melted', 'dehydrated', 'bloated', 'salted'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د یوې اوونۍ په اوږدو کې د شدید باران وروسته، یو سړی ګوري چې د هغه په حیاط کې حوض,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""منجمد شوی"", ""اوږد شوی"", ""پړسیدلی"", ""مالګه شوی""]}"
75,The amount of friction and the speed of an object have what kind of relationship?,"{'text': array(['inverse', 'reverse', 'direct', 'equal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د یوې شی د مالش مقدار او سرعت ترمنځ څه ډول اړیکه شته؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""عکس العمل"", ""عکس"", ""مستقیم"", ""برابر""]}"
1215,A fallen leaf,"{'text': array(['will turn into a tree', 'will become bright green',
       'will begin to recycle the nutrients that made up its structure',
       'is likely to continue to grow'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو لویدلی پاڼه,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""به یوه ونه بدله شي"", ""به روښانه شنه شي"", ""به د هغې جوړښت جوړوونکو مغذي موادو بیا کار پیل کړي"", ""احتمال لري چې وده وکړي""]}"
8-93,Over a period of time the weather can change,"{'text': array(['The color of my hair', 'The way I walk', 'The size of a statue',
       'The sound a computer makes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د یوې مودې په تیریدو سره هوا بدلیدلی شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د زما د ویښتو رنګ"", ""د ما د تګ طریقه"", ""د یوې مجسمې اندازه"", ""د کمپیوټر غږ""]}"
7-988,Plant growth may cause,"{'text': array(['an uptick in the number of leaves', 'a surge in leaf disease',
       'a gradual decrease in leaves', 'a rapid decline of the leaves'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د بوټو وده ممکن څه رامنځته کړي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د پاڼو په شمېر کې زیاتوالی"", ""د پاڼو د ناروغیو زیاتوالی"", ""د پاڼو په شمېر کې تدریجي کموالی"", ""د پاڼو چټک کمښت""]}"
9-1139,The man's heart skipped a beat and he felt pain after touching which of these?,"{'text': array(['ice cube', 'water', 'electrical transformer', 'grass'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د سړي زړه یو ضربه پریښوده او هغه درد احساس کړ کله چې له دې څخه کوم شی ته لاس واچاوه؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یخ مکعب"", ""اوبه"", ""برقي ترانسفارمر"", ""چمن""]}"
1545,Which substance is capable of dripping?,"{'text': array(['Oxygen', 'Juice', 'Wood', 'Lightning'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,کومه ماده د څاڅیدو وړتیا لري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""اکسیجن"", ""عصیر"", ""لکۍ"", ""برق""]}"
7-664,If bacon is left too long on a hot stove top,"{'text': array(['it will be cooked perfectly', 'it will be bacteria laden',
       'it will become blackened', 'it will be left raw'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,که بیکن ډیر وخت په تودو پخلنځي کې پریښودل شي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""دا به په بشپړه توګه پخلی شي"", ""دا به د باکتریا سره ډک شي"", ""دا به توره شي"", ""دا به خام پاتې شي""]}"
8-53,the dashboard reading in a jaguar would likely be set to which of these?,"{'text': array(['set to calories', 'set to volume', 'set to kilometers',
       'set to width'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د جاګوار د داشبورډ لوست به د دې څخه کوم ته ټاکل شوی وي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""کالورۍ ته ټاکل شوی"", ""حجم ته ټاکل شوی"", ""کیلومترونو ته ټاکل شوی"", ""عرض ته ټاکل شوی""]}"
7-1044,are explosions safe?,"{'text': array(['they could harm living things', 'they are very safe',
       'they cause nothing serious', 'none of these'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,آیا چاودنې خوندي دي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""دا کولی شي ژوندی موجودات زیانمن کړي"", ""دا ډیرې خوندي دي"", ""دا هیڅ جدي زیان نه رسوي"", ""هیڅ یو له دې نه""]}"
7-1122,The lowest temperature on the trip was at,"{'text': array(['the mountain pass', 'the plain', 'the large hill', 'the canyon'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,په سفر کې تر ټولو ټیټه تودوخه په کوم ځای کې وه؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د غرونو تنگ"", ""د میدان"", ""د لوی تپه"", ""د دره""]}"
9-79,What is the benefit to using a frosted window film over a non treated windows?,"{'text': array(['they are easier to make', 'they let in less light',
       'they are cheaper to produce', 'they are much stronger'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د غیر درملنې کړکیو پر ځای د یخ کړکیو فلم کارولو ګټه څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""دا جوړول یې اسانه دي"", ""دا لږ رڼا ته اجازه ورکوي"", ""دا د تولید لپاره ارزانه دي"", ""دا ډیر قوي دي""]}"
7-157,Ocean water contains,"{'text': array(['copious amounts of seltzer', 'scant amounts of sodium chloride',
       'scant amounts of carbonation',
       'copious amounts of the combination of Na and Cl'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د سمندر اوبه لري,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د سلتزر ډیر مقدار"", ""د سوډیم کلوراید لږ مقدار"", ""د کاربونیشن لږ مقدار"", ""د Na او Cl ترکیب ډیر مقدار""]}"
9-1164,A cheetah that runs all day will find it has lost a lot of,"{'text': array(['blood', 'water', 'prey', 'spots'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,یو چیتا چې ټول ورځ منډه وهي، موندلې چې ډیر څه له لاسه ورکړي دي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""خون"", ""اوبه"", ""شکار"", ""داغونه""]}"
8-63,Beak shape can influence a bird's ability,"{'text': array(['to give birth to live young', ""to mate with it's partner"",
       'to fly to warmer climates', 'to chew up certain worms'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د مرغانو د نوک شکل د دوی وړتیا باندې تاثیر لري,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ژوندی ځوان زېږول"", ""د خپل شریک سره د مینې کولو"", ""تودو اقلیم ته الوتل"", ""ځینې کبان خوري""]}"
8-308,Some blind people have demonstrated bat-like skills by:,"{'text': array(['sensing shapes by light and shadows',
       'having a unusually strong sense of smell',
       'sensing nearby objects by temperature change',
       ""using sound to 'see'""], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,ځینې ړانده خلک د خفاش په څیر مهارتونه ښودلي دي:,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د رڼا او سیوري له لارې شکلونه احساسول"", ""د بوی غیر معمولي قوي حس لرل"", ""د تودوخې بدلون له لارې نږدې شیانو احساسول"", ""د 'کتلو' لپاره غږ کارول""]}"
326,December 21st through March 20 is a three month period which is an example of what?,"{'text': array(['A session', 'A Match', 'A Season', 'Autumn'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د دسمبر ۲۱ څخه تر مارچ ۲۰ پورې درې میاشتې یوه بیلګه څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یو غونډ"", ""یو لوبه"", ""یو فصل"", ""پسرلی""]}"
1184,Seeds provide new plants with,"{'text': array(['life sustaining elements', 'essentials for photosynthesis',
       'water and hydrogen', 'storage for roots'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,تخمونه نوي بوټو ته څه ورکوي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ژوند د ساتنې عناصر"", ""د فوتوسنتز لپاره اړین توکي"", ""اوبه او هایدروجن"", ""د ریښو لپاره ذخیره""]}"
359,What is a more comfortable color to have for your automobile upholstery if living in a desert?,"{'text': array(['ecru', 'red', 'black', 'navy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,که چیرې په دښت کې ژوند کوئ، د موټر د فرش لپاره کوم رنګ ډیر آرام دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ایکرu"", ""سور"", ""تور"", ""نیلي""]}"
9-350,The salamander could eat a large amounts of what?,"{'text': array(['fettuccine if left around', 'waxy leaves from certain plants',
       'dead carcass meat from livestock', 'six legged winged organisms'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,سالمندر کولی شي د څه شی لوی مقدار وخوري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""فیتوچیني که چیرې پریښودل شي"", ""د ځینو بوټو موم لرونکي پاڼې"", ""د څارویو مړه غوښه"", ""د شپږو پښو لرونکي وزر لرونکي موجودات""]}"
7-140,A person can see,"{'text': array(['a radio recording', 'an emotion', 'a written message',
       'an abstract idea'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو شخص کولی شي څه وګوري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د راډیو ثبت"", ""یو احساس"", ""یو لیکل شوی پیغام"", ""یو انتزاعی نظر""]}"
591,"When looking for good soil for plants, typically what is optimal?","{'text': array(['malleable and nutritious', 'dry and sandy', 'grainy and bitter',
       'compact and hard'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,کله چې د بوټو لپاره ښه خاورې لټوئ، عموماً څه شی غوره دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""نرم او مغذي"", ""خشک او شګه"", ""دانه لرونکی او تلخ"", ""مضغوط او سخت""]}"
7-391,Animals are drawn to,"{'text': array(['gold', 'houses', 'feeders', 'Carbon Dioxide'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,حیوانات د څه شی په لور جذب کیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""طلایی"", ""کورونه"", ""د خوړو ځایونه"", ""کاربن ډای اکساید""]}"
1672,Squirrels spend their fall,"{'text': array(['looking for pretty leaves to collect',
       'stockpiling rocks for fighting in the winter',
       'stockpiling pecans for the frigid months',
       'collecting twigs to keep warm'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,سکویرلونه خپل خزان په څه کې تیریږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د ښکلو پاڼو د راټولولو په لټه کې"", ""د ژمي لپاره د جګړې لپاره د ډبرو ذخیره کول"", ""د یخ میاشتو لپاره د پیکان ذخیره کول"", ""د تودوخې لپاره د څانګو راټولول""]}"
9-464,Rainbows are always found after what?,"{'text': array(['A fire', 'A tornado', 'Rainfall', 'Cereal'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,رنګین قوسونه تل د څه وروسته موندل کیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""اور"", ""تورنادو"", ""باران"", ""د غنمو""]}"
9-983,Crop rotation has a positive impact on what?,"{'text': array(['government mentality', 'dirt quality', 'town economies',
       'crop watering'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د کښت دوراني کول په څه باندې مثبت تاثیر لري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د حکومت ذهنيت"", ""د خاورې کیفیت"", ""د ښار اقتصاد"", ""د کښت اوبه ورکول""]}"
9-179,the best method for detecting texture is,"{'text': array(['rubbing it', 'seeing it', 'hearing it', 'tasting it'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د جوړښت د تشخیص غوره طریقه څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""مالش کول"", ""لیدل"", ""اوریدل"", ""خوند اخیستل""]}"
7-942,Cold-blooded animals are often,"{'text': array(['fast', 'large', 'hairless', 'slow'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,سړه وینه لرونکي حیوانات اکثره وخت څه ډول وي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""چټک"", ""لوی"", ""ویښتان نه لرونکي"", ""ورو""]}"
7-100,Grey clouds can bring,"{'text': array(['sunlight', 'falling water molecules', 'blooming flowers',
       'drought conditions'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,خاکستري ورېځې څه شی راوړلای شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""لمرنی رڼا"", ""د اوبو مالیکولونه چې راپرېوتي"", ""ګلونه چې غوړېږي"", ""د وچکالۍ شرایط""]}"
9-30,Which animal is considered a predator?,"{'text': array(['ant', 'snake', 'elephant', 'giraffe'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,کوم حیوان د ښکارګر په توګه ګڼل کیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""مچ"", ""مار"", ""هګۍ"", ""زرافه""]}"
1709,Pollinators,"{'text': array(['enable plants to continue flourishing',
       'play an unimportant role in the reproduction process',
       'are useless to plants', 'are considered unwanted pests'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د ګلانو د پخیدو لپاره,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""نباتاتو ته د ودې دوام ورکوي"", ""د تولید پروسې کې غیر مهم رول لري"", ""نباتاتو ته بې ګټې دي"", ""غیر مطلوب آفتونه ګڼل کیږي""]}"
8-491,"A farmer harvests seeds from some plants, such as tomatoes, in order to plant them later on. These seeds, once planted","{'text': array(['have their own dirt', 'have their own sunlight',
       'have a lot of sand', 'contain their necessary nutrition'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یو بزګر د ځینو نباتاتو، لکه رومي بانجان، د تخمونو حاصلات کوي ترڅو وروسته یې کښت کړي. دا تخمونه، کله چې کښت شي،,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""خپل خاوره لري"", ""خپل لمریزه رڼا لري"", ""ډیر شګه لري"", ""ضروري تغذیه لري""]}"
44,What type of characteristics are people not born with?,"{'text': array(['genetics', 'skills', 'physical attributes', 'height'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,کوم ډول ځانګړتیاوې دي چې خلک ورسره نه زېږی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""جنیټیک"", ""مهارتونه"", ""فزیکي ځانګړتیاوې"", ""لوړوالی""]}"
1023,A spinning object is used to make,"{'text': array(['steam', 'heat', 'water', 'electricity'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یو دوران کوونکی شی د څه شي د جوړولو لپاره کارول کیږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""بخار"", ""تودوخه"", ""اوبه"", ""برق""]}"
1911,One of the negative consequences of offshore oil platforms is,"{'text': array(['evaporation of the surrounding water',
       'discharge of liquid petroleum in the surrounding sea',
       'improvement in the conditions of sea life',
       'increase in the birthrate of sea birds'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د سمندر د تیلو د پلاتفورمونو یوه منفي پایله څه ده؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د شاوخوا اوبو تبخیر"", ""د شاوخوا سمندر کې د مایع تیلو خوشې کول"", ""د سمندري ژوند شرایطو ښه والی"", ""د سمندري مرغانو د زېږیدو کچه لوړه""]}"
429,The unit of measure derived from French word millilitre is a unit used for measuring volume generally used for values between 1 and,"{'text': array(['1000', '250', '5000', '300'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د فرانسوي کلمې میلی لیتر څخه اخیستل شوی د اندازه کولو واحد دی چې عموماً د 1 او تر منځ د حجم اندازه کولو لپاره کارول کیږي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""1000"", ""250"", ""5000"", ""300""]}"
8-49,"A man's child runs through the yard in the sprinklers, getting mud all over their feet. The child then runs around on the porch, tracking mud everywhere. While the mud is still wet, the man decides to clean off the porch by","{'text': array(['getting a new child', 'yelling at the mud',
       'asking the child to stop', 'turning on the hose'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,یو سړی د خپل ماشوم په اړه چې د باران د پاشونکو په منځ کې د حویلي په اوږدو کې منډه وهي، د دوی پښې خاورې کوي. ماشوم بیا د پورتنۍ پرچۍ په شاوخوا کې منډه وهي، خاورې هر ځای تعقیبوي. پداسې حال کې چې خاوره لا تر اوسه لندبل ده، سړی پریکړه کوي چې د پرچۍ پاکولو لپاره,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یو نوی ماشوم ترلاسه کړي"", ""پر خاوره چیغې وهي"", ""ماشوم ته د ودریدلو غوښتنه کوي"", ""د اوبو نل پرانیزي""]}"
520,Earthquakes,"{'text': array(['only happen in California', 'cause solar and lunar eclipses',
       'will break your vases', 'make bridges much safer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,زلزلې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یوازې په کالیفورنيا کې پیښیږي"", ""د لمریز او سپوږمۍ د خفګان لامل کیږي"", ""ستاسو ګلدانونه ماتوي"", ""پلونه ډیر خوندي کوي""]}"
7-1128,A seismograph can accurately describe,"{'text': array(['how rough the footing will be', 'how bad the weather will be',
       'how stable the ground will be', 'how shaky the horse will be'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو زلزله سنج په دقیق ډول څه بیانولی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""څومره خړوب به وي"", ""څومره هوا خرابېږي"", ""څومره ځمکه ثابته وي"", ""څومره آس لرزیدونکی وي""]}"
7-394,"Light from further away may appear to be less bright than other, closer sources, such as in which instance?","{'text': array(['the sun is always bright', 'the moon is brighter than stars',
       'the moon is brighter than a floodlight',
       'the sun is darker than the moon'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,لرې څخه رڼا ممکن د نورو، نږدې سرچینو په پرتله کم روښانه ښکاره شي، لکه په کوم حالت کې؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""لمر تل روښانه دی"", ""سپوږمۍ د ستورو په پرتله روښانه ده"", ""سپوږمۍ د سیلاب رڼا په پرتله روښانه ده"", ""لمر د سپوږمۍ په پرتله تیاره ده""]}"
9-1166,A plant needs a specific climate to grow and,"{'text': array(['wither', 'persist', 'die', 'decay'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,یو نبات د ودې لپاره ځانګړې اقلیم ته اړتیا لري او,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""وچ شي"", ""پاتې شي"", ""مړ شي"", ""خراب شي""]}"
7-884,Banging on a drum causes,"{'text': array(['music to be loud', 'music to be appealing',
       'reverberations to strike the eardrum', 'concerts to sell out'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,پر ډرم باندې وهل سبب کیږي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""موسیقي غږېږي"", ""موسیقي جذابه شي"", ""د غږ د غشا ته ارتعاشات وځلوي"", ""کنسرټونه پلورل شي""]}"
9-501,What may have been formed by a volcano?,"{'text': array(['Mt. McKinley', 'Lake Pontchartrain', 'The great lakes',
       'Niagara Falls'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,کوم شی ممکن د آتش فشان له خوا جوړ شوی وي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د مک کینلي غر"", ""د پونچارتین جهیل"", ""لوی جهیلونه"", ""د نیاګارا آبشار""]}"
9-757,"Humans, cats, dogs, and elephants are known as mammals because their kids are born alive. Non-mammalian babies are born","{'text': array(['old', 'dead', 'in an egg', 'big'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,انسانان، پیشوګانې، سپي، او فیلونه د ممالیو په توګه پیژندل کیږي ځکه چې د دوی بچي ژوندی زېږیږي. غیر ممالی بچي زېږیږي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""زوړ"", ""مړ"", ""په هګۍ کې"", ""لوی""]}"
